"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Franklin"	"TAS"	30787	0.4552	36845	0.5448	67632
"Fraser"	"ACT"	37965	0.3493	70715	0.6507	108680
"Fremantle"	"WA"	32648	0.4086	47253	0.5914	79901
"Gellibrand"	"VIC"	24022	0.2854	60134	0.7146	84156
"Gilmore"	"NSW"	43467	0.5407	36930	0.4593	80397
"Gippsland"	"VIC"	49280	0.5591	38861	0.4409	88141
"Goldstein"	"VIC"	47811	0.5605	37488	0.4395	85299
"Gorton"	"VIC"	27297	0.2878	67535	0.7122	94832
"Grayndler"	"NSW"	21019	0.2507	62821	0.7493	83840
"Greenway"	"NSW"	43881	0.545	36641	0.455	80522
"Grey"	"SA"	48522	0.5443	40623	0.4557	89145
"Griffith"	"QLD"	31198	0.3768	51600	0.6232	82798
"Groom"	"QLD"	48468	0.5822	34782	0.4178	83250
"Hasluck"	"WA"	35805	0.4874	37657	0.5126	73462
"Herbert"	"QLD"	41089	0.5021	40746	0.4979	81835
"Higgins"	"VIC"	46559	0.5704	35070	0.4296	81629
"Hindmarsh"	"SA"	40767	0.4495	49937	0.5505	90704
"Hinkler"	"QLD"	42515	0.5169	39734	0.4831	82249
"Holt"	"VIC"	35638	0.3837	57237	0.6163	92875
"Hotham"	"VIC"	30091	0.37	51240	0.63	81331
"Hughes"	"NSW"	43562	0.5216	39957	0.4784	83519
"Hume"	"NSW"	45526	0.5416	38537	0.4584	84063
"Hunter"	"NSW"	28173	0.3408	54504	0.6592	82677
"Indi"	"VIC"	50132	0.5919	34559	0.4081	84691
"Isaacs"	"VIC"	38230	0.4231	52131	0.5769	90361
"Jagajaga"	"VIC"	35905	0.4102	51630	0.5898	87535
"Kalgoorlie"	"WA"	34474	0.5258	31097	0.4742	65571
"Kennedy"	"QLD"	47339	0.5751	34980	0.4249	82319
"Kingsford Smith"	"NSW"	31837	0.3671	54889	0.6329	86726
"Kingston"	"SA"	41244	0.4558	49247	0.5442	90491
"Kooyong"	"VIC"	48775	0.5953	33153	0.4047	81928
"La Trobe"	"VIC"	43077	0.5051	42206	0.4949	85283
"Lalor"	"VIC"	32926	0.3447	62600	0.6553	95526
"Leichhardt"	"QLD"	38127	0.4597	44816	0.5403	82943
"Lilley"	"QLD"	34581	0.4141	48921	0.5859	83502
"Lindsay"	"NSW"	35315	0.4322	46394	0.5678	81709
"Lingiari"	"NT"	18138	0.3884	28565	0.6116	46703
"Longman"	"QLD"	38157	0.4643	44026	0.5357	82183
"Lowe"	"NSW"	33538	0.4263	45136	0.5737	78674
"Lyne"	"NSW"	46311	0.5858	32751	0.4142	79062
"Lyons"	"TAS"	26152	0.4122	37292	0.5878	63444
"Macarthur"	"NSW"	38865	0.5072	37757	0.4928	76622
"Mackellar"	"NSW"	52395	0.6242	31538	0.3758	83933
"Macquarie"	"NSW"	37690	0.4296	50037	0.5704	87727
"Makin"	"SA"	36909	0.423	50346	0.577	87255
"Mallee"	"VIC"	59328	0.7127	23912	0.2873	83240
"Maranoa"	"QLD"	50936	0.6444	28103	0.3556	79039
"Maribyrnong"	"VIC"	27430	0.3468	51657	0.6532	79087
"Mayo"	"SA"	51264	0.5706	38584	0.4294	89848
"McEwen"	"VIC"	48339	0.5002	48308	0.4998	96647
"McMillan"	"VIC"	44172	0.5479	36443	0.4521	80615
"McPherson"	"QLD"	49195	0.5883	34434	0.4117	83629
"Melbourne"	"VIC"	24284	0.2773	63299	0.7227	87583
"Melbourne Ports"	"VIC"	36890	0.4285	49191	0.5715	86081
"Menzies"	"VIC"	47104	0.5602	36984	0.4398	84088
"Mitchell"	"NSW"	50058	0.6159	31221	0.3841	81279
"Moncrieff"	"QLD"	52042	0.6401	29259	0.3599	81301
"Moore"	"WA"	41576	0.5917	28695	0.4083	70271
"Moreton"	"QLD"	36411	0.4525	44055	0.5475	80466
"Murray"	"VIC"	55015	0.6826	25577	0.3174	80592
"New England"	"NSW"	55167	0.648	29973	0.352	85140
"Newcastle"	"NSW"	28820	0.3409	55725	0.6591	84545
"North Sydney"	"NSW"	47222	0.5538	38041	0.4462	85263
"O'Connor"	"WA"	50625	0.6655	25442	0.3345	76067
"Oxley"	"QLD"	28868	0.3587	51607	0.6413	80475
"Page"	"NSW"	40740	0.4764	44770	0.5236	85510
"Parkes"	"NSW"	51985	0.6304	30484	0.3696	82469
"Parramatta"	"NSW"	36727	0.4312	48453	0.5688	85180
"Paterson"	"NSW"	43228	0.5151	40688	0.4849	83916
"Pearce"	"WA"	50022	0.5907	34661	0.4093	84683
"Perth"	"WA"	32205	0.4115	46061	0.5885	78266
"Petrie"	"QLD"	39871	0.4795	43283	0.5205	83154
"Port Adelaide"	"SA"	27391	0.3025	63158	0.6975	90549
"Prospect"	"NSW"	28973	0.3654	50327	0.6346	79300
"Rankin"	"QLD"	30643	0.3826	49440	0.6174	80083
"Reid"	"NSW"	26373	0.332	53065	0.668	79438
"Richmond"	"NSW"	33513	0.4113	47973	0.5887	81486
"Riverina"	"NSW"	55868	0.6623	28490	0.3377	84358
"Robertson"	"NSW"	43513	0.4989	43697	0.5011	87210
"Ryan"	"QLD"	45258	0.5382	38840	0.4618	84098
"Scullin"	"VIC"	23791	0.2915	57830	0.7085	81621
"Shortland"	"NSW"	30162	0.3526	55379	0.6474	85541
"Solomon"	"NT"	25657	0.4981	25853	0.5019	51510
"Stirling"	"WA"	41520	0.5129	39431	0.4871	80951
"Sturt"	"SA"	46153	0.5094	44442	0.4906	90595
"Swan"	"WA"	36420	0.5011	36256	0.4989	72676
"Sydney"	"NSW"	23350	0.305	53214	0.695	76564
"Tangney"	"WA"	45480	0.5868	32019	0.4132	77499
"Throsby"	"NSW"	21348	0.2654	59099	0.7346	80447
"Wakefield"	"SA"	37704	0.4341	49142	0.5659	86846
"Wannon"	"VIC"	49020	0.5747	36282	0.4253	85302
"Warringah"	"NSW"	50627	0.595	34464	0.405	85091
"Watson"	"NSW"	23835	0.2967	56499	0.7033	80334
"Wentworth"	"NSW"	47538	0.5385	40734	0.4615	88272
"Werriwa"	"NSW"	27711	0.3476	51999	0.6524	79710
"Wide Bay"	"QLD"	47149	0.5847	33484	0.4153	80633
"Wills"	"VIC"	23785	0.2759	62432	0.7241	86217
