"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Adelaide"	"SA"	36757	0.4147	51868	0.5853	88625
"Aston"	"VIC"	47243	0.5505	38569	0.4495	85812
"Ballarat"	"VIC"	36752	0.4185	51056	0.5815	87808
"Banks"	"NSW"	32109	0.3892	50392	0.6108	82501
"Barker"	"SA"	56301	0.5945	38396	0.4055	94697
"Barton"	"NSW"	31064	0.379	50902	0.621	81966
"Bass"	"TAS"	31282	0.49	32553	0.51	63835
"Batman"	"VIC"	19158	0.2405	60503	0.7595	79661
"Bendigo"	"VIC"	39466	0.4387	50504	0.5613	89970
"Bennelong"	"NSW"	42251	0.486	44685	0.514	86936
"Berowra"	"NSW"	49122	0.5894	34223	0.4106	83345
"Blair"	"QLD"	37910	0.4552	45369	0.5448	83279
"Blaxland"	"NSW"	24503	0.3163	52953	0.6837	77456
"Bonner"	"QLD"	38004	0.4547	45576	0.5453	83580
"Boothby"	"SA"	47322	0.5293	42075	0.4707	89397
"Bowman"	"QLD"	41073	0.5004	41009	0.4996	82082
"Braddon"	"TAS"	32176	0.4856	34085	0.5144	66261
"Bradfield"	"NSW"	53512	0.6345	30819	0.3655	84331
"Brand"	"WA"	36673	0.4438	45959	0.5562	82632
"Brisbane"	"QLD"	36212	0.4324	47526	0.5676	83738
"Bruce"	"VIC"	33565	0.4168	46966	0.5832	80531
"Calare"	"NSW"	51124	0.6205	31263	0.3795	82387
"Calwell"	"VIC"	26463	0.3067	59807	0.6933	86270
"Canberra"	"ACT"	43871	0.3818	71030	0.6182	114901
"Canning"	"WA"	47689	0.5558	38109	0.4442	85798
"Capricornia"	"QLD"	31725	0.3729	53355	0.6271	85080
"Casey"	"VIC"	46726	0.5593	36812	0.4407	83538
"Charlton"	"NSW"	30885	0.3713	52298	0.6287	83183
"Chifley"	"NSW"	23572	0.2934	56776	0.7066	80348
"Chisholm"	"VIC"	34041	0.4262	45833	0.5738	79874
"Cook"	"NSW"	48711	0.5657	37396	0.4343	86107
"Corangamite"	"VIC"	44426	0.4915	45968	0.5085	90394
"Corio"	"VIC"	34102	0.4107	48939	0.5893	83041
"Cowan"	"WA"	43883	0.5171	40975	0.4829	84858
"Cowper"	"NSW"	43423	0.5123	41334	0.4877	84757
"Cunningham"	"NSW"	26847	0.3187	57382	0.6813	84229
"Curtin"	"WA"	50320	0.6357	28832	0.3643	79152
"Dawson"	"QLD"	37386	0.4679	42520	0.5321	79906
"Deakin"	"VIC"	39991	0.4859	42319	0.5141	82310
"Denison"	"TAS"	21988	0.3437	41982	0.6563	63970
"Dickson"	"QLD"	41832	0.5013	41615	0.4987	83447
"Dobell"	"NSW"	37983	0.461	44413	0.539	82396
"Dunkley"	"VIC"	46693	0.5404	39711	0.4596	86404
"Eden-Monaro"	"NSW"	39447	0.466	45207	0.534	84654
"Fadden"	"QLD"	50228	0.602	33205	0.398	83433
"Fairfax"	"QLD"	43558	0.5301	38609	0.4699	82167
"Farrer"	"NSW"	52766	0.6117	33493	0.3883	86259
"Fisher"	"QLD"	42325	0.531	37384	0.469	79709
"Flinders"	"VIC"	51697	0.5825	37058	0.4175	88755
"Flynn"	"QLD"	39967	0.4984	40220	0.5016	80187
"Forde"	"QLD"	36869	0.4709	41419	0.5291	78288
"Forrest"	"WA"	47871	0.5583	37879	0.4417	85750
"Fowler"	"NSW"	24801	0.3175	53306	0.6825	78107
