"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Adelaide"	"SA"	42118	0.4605	49338	0.5395	91456
"Aston"	"VIC"	49672	0.582	35669	0.418	85341
"Ballarat"	"VIC"	42252	0.4511	51411	0.5489	93663
"Banks"	"NSW"	43990	0.5183	40885	0.4817	84875
"Barker"	"SA"	61571	0.6655	30953	0.3345	92524
"Barton"	"NSW"	40245	0.5031	39756	0.4969	80001
"Bass"	"TAS"	35310	0.5404	30034	0.4596	65344
"Batman"	"VIC"	25857	0.2902	63257	0.7098	89114
"Bendigo"	"VIC"	45093	0.4874	47426	0.5126	92519
"Bennelong"	"NSW"	51139	0.5777	37383	0.4223	88522
"Berowra"	"NSW"	59847	0.6907	26800	0.3093	86647
"Blair"	"QLD"	35337	0.4474	43642	0.5526	78979
"Blaxland"	"NSW"	30152	0.3857	48025	0.6143	78177
"Bonner"	"QLD"	46110	0.5369	39766	0.4631	85876
"Boothby"	"SA"	53866	0.5712	40441	0.4288	94307
"Bowman"	"QLD"	51155	0.5886	35755	0.4114	86910
"Braddon"	"TAS"	34668	0.5256	31288	0.4744	65956
"Bradfield"	"NSW"	62771	0.7078	25913	0.2922	88684
"Brand"	"WA"	40936	0.4712	45940	0.5288	86876
"Brisbane"	"QLD"	47145	0.5428	39712	0.4572	86857
"Bruce"	"VIC"	39833	0.482	42812	0.518	82645
"Calare"	"NSW"	60248	0.6597	31075	0.3403	91323
"Calwell"	"VIC"	31066	0.3614	54906	0.6386	85972
"Canberra"	"ACT"	49894	0.4302	66074	0.5698	115968
"Canning"	"WA"	54700	0.6181	33793	0.3819	88493
"Capricornia"	"QLD"	43109	0.5077	41804	0.4923	84913
"Casey"	"VIC"	50615	0.5717	37914	0.4283	88529
"Charlton"	"NSW"	35227	0.4077	51173	0.5923	86400
"Chifley"	"NSW"	32470	0.3945	49831	0.6055	82301
"Chisholm"	"VIC"	41678	0.484	44431	0.516	86109
"Cook"	"NSW"	61244	0.6635	31055	0.3365	92299
"Corangamite"	"VIC"	50057	0.5394	42744	0.4606	92801
"Corio"	"VIC"	38136	0.4225	52117	0.5775	90253
"Cowan"	"WA"	48487	0.5746	35901	0.4254	84388
"Cowper"	"NSW"	53303	0.6171	33075	0.3829	86378
"Cunningham"	"NSW"	36582	0.4012	54595	0.5988	91177
"Curtin"	"WA"	57171	0.6742	27629	0.3258	84800
"Dawson"	"QLD"	50451	0.5758	37172	0.4242	87623
"Deakin"	"VIC"	46926	0.5318	41314	0.4682	88240
"Denison"	"TAS"	26639	0.4109	38186	0.5891	64825
"Dickson"	"QLD"	48631	0.5672	37101	0.4328	85732
"Dobell"	"NSW"	43653	0.5068	42487	0.4932	86140
"Dunkley"	"VIC"	48861	0.5557	39073	0.4443	87934
"Durack"	"WA"	48031	0.6488	26005	0.3512	74036
"Eden-Monaro"	"NSW"	45199	0.5061	44114	0.4939	89313
"Fadden"	"QLD"	51572	0.6436	28563	0.3564	80135
"Fairfax"	"QLD"	52184	0.6168	32423	0.3832	84607
"Farrer"	"NSW"	55961	0.6743	27035	0.3257	82996
"Fisher"	"QLD"	46522	0.5975	31333	0.4025	77855
"Flinders"	"VIC"	58048	0.6181	35873	0.3819	93921
"Flynn"	"QLD"	48352	0.5653	37178	0.4347	85530
"Forde"	"QLD"	41256	0.5438	34604	0.4562	75860
"Forrest"	"WA"	53198	0.6228	32225	0.3772	85423
"Fowler"	"NSW"	26102	0.332	52526	0.668	78628
"Franklin"	"TAS"	30241	0.4491	37103	0.5509	67344
"Fraser"	"ACT"	46921	0.3738	78614	0.6262	125535
