"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Fremantle"	"WA"	39403	0.4523	47705	0.5477	87108
"Gellibrand"	"VIC"	29249	0.3347	58139	0.6653	87388
"Gilmore"	"NSW"	47758	0.5265	42951	0.4735	90709
"Gippsland"	"VIC"	58214	0.6584	30201	0.3416	88415
"Goldstein"	"VIC"	55288	0.6103	35303	0.3897	90591
"Gorton"	"VIC"	29681	0.3388	57933	0.6612	87614
"Grayndler"	"NSW"	26396	0.2966	62613	0.7034	89009
"Greenway"	"NSW"	40502	0.4702	45639	0.5298	86141
"Grey"	"SA"	56330	0.6354	32321	0.3646	88651
"Griffith"	"QLD"	40604	0.4699	45805	0.5301	86409
"Groom"	"QLD"	58493	0.6647	29510	0.3353	88003
"Hasluck"	"WA"	47057	0.5487	38706	0.4513	85763
"Herbert"	"QLD"	47889	0.5617	37364	0.4383	85253
"Higgins"	"VIC"	52323	0.5993	34984	0.4007	87307
"Hindmarsh"	"SA"	49048	0.5189	45475	0.4811	94523
"Hinkler"	"QLD"	50142	0.5904	34786	0.4096	84928
"Holt"	"VIC"	36587	0.4091	52836	0.5909	89423
"Hotham"	"VIC"	36727	0.4273	49232	0.5727	85959
"Hughes"	"NSW"	53735	0.6067	34840	0.3933	88575
"Hume"	"NSW"	55938	0.6147	35056	0.3853	90994
"Hunter"	"NSW"	39816	0.4633	46125	0.5367	85941
"Indi"	"VIC"	52625	0.591	36418	0.409	89043
"Isaacs"	"VIC"	40004	0.4614	46704	0.5386	86708
"Jagajaga"	"VIC"	42936	0.4687	48669	0.5313	91605
"Kennedy"	"QLD"	56476	0.6715	27625	0.3285	84101
"Kingsford Smith"	"NSW"	40692	0.4726	45411	0.5274	86103
"Kingston"	"SA"	35446	0.403	52504	0.597	87950
"Kooyong"	"VIC"	53504	0.6106	34122	0.3894	87626
"La Trobe"	"VIC"	47998	0.5401	40868	0.4599	88866
"Lalor"	"VIC"	35340	0.3784	58041	0.6216	93381
"Leichhardt"	"QLD"	47725	0.5568	37991	0.4432	85716
"Lilley"	"QLD"	43864	0.4868	46237	0.5132	90101
"Lindsay"	"NSW"	46446	0.5299	41212	0.4701	87658
"Lingiari"	"NT"	22606	0.4912	23413	0.5088	46019
"Longman"	"QLD"	47691	0.5692	36099	0.4308	83790
"Lyne"	"NSW"	55857	0.6477	30388	0.3523	86245
"Lyons"	"TAS"	34228	0.5122	32597	0.4878	66825
"Macarthur"	"NSW"	52161	0.6136	32848	0.3864	85009
"Mackellar"	"NSW"	62322	0.6884	28210	0.3116	90532
"Macquarie"	"NSW"	48987	0.5448	40937	0.4552	89924
"Makin"	"SA"	41304	0.4494	50604	0.5506	91908
"Mallee"	"VIC"	63224	0.7366	22610	0.2634	85834
"Maranoa"	"QLD"	64987	0.7228	24921	0.2772	89908
"Maribyrnong"	"VIC"	34797	0.3861	55320	0.6139	90117
"Mayo"	"SA"	57141	0.6251	34269	0.3749	91410
"McEwen"	"VIC"	50474	0.4985	50787	0.5015	101261
"McMahon"	"NSW"	36798	0.4468	45561	0.5532	82359
"McMillan"	"VIC"	58095	0.6183	35857	0.3817	93952
"McPherson"	"QLD"	52244	0.63	30683	0.37	82927
"Melbourne"	"VIC"	25996	0.3075	58555	0.6925	84551
"Melbourne Ports"	"VIC"	37654	0.4644	43419	0.5356	81073
"Menzies"	"VIC"	57235	0.6445	31571	0.3555	88806
"Mitchell"	"NSW"	62425	0.7208	24183	0.2792	86608
"Moncrieff"	"QLD"	54051	0.6795	25489	0.3205	79540
"Moore"	"WA"	53100	0.6186	32734	0.3814	85834
"Moreton"	"QLD"	39946	0.4845	42503	0.5155	82449
"Murray"	"VIC"	62882	0.7087	25850	0.2913	88732
"New England"	"NSW"	64551	0.7071	26738	0.2929	91289
"Newcastle"	"NSW"	35197	0.4117	50298	0.5883	85495
"North Sydney"	"NSW"	58274	0.6589	30174	0.3411	88448
"O'Connor"	"WA"	55486	0.6725	27024	0.3275	82510
"Oxley"	"QLD"	34961	0.4623	40657	0.5377	75618
"Page"	"NSW"	45134	0.5252	40801	0.4748	85935
"Parkes"	"NSW"	65575	0.7235	25064	0.2765	90639
"Parramatta"	"NSW"	39850	0.4943	40765	0.5057	80615
"Paterson"	"NSW"	52080	0.5978	35037	0.4022	87117
"Pearce"	"WA"	51206	0.5806	36985	0.4194	88191
"Perth"	"WA"	37862	0.4565	45079	0.5435	82941
"Petrie"	"QLD"	41722	0.5053	40851	0.4947	82573
"Port Adelaide"	"SA"	32738	0.3598	58261	0.6402	90999
"Rankin"	"QLD"	37622	0.4522	45580	0.5478	83202
"Reid"	"NSW"	43642	0.5085	42182	0.4915	85824
"Richmond"	"NSW"	40099	0.4702	45179	0.5298	85278
"Riverina"	"NSW"	62612	0.7117	25361	0.2883	87973
"Robertson"	"NSW"	47242	0.53	41898	0.47	89140
"Ryan"	"QLD"	53657	0.5854	38001	0.4146	91658
"Scullin"	"VIC"	32264	0.3565	58232	0.6435	90496
"Shortland"	"NSW"	36814	0.4279	49230	0.5721	86044
"Solomon"	"NT"	27461	0.514	25961	0.486	53422
"Stirling"	"WA"	50083	0.603	32977	0.397	83060
"Sturt"	"SA"	54591	0.6008	36276	0.3992	90867
"Swan"	"WA"	46246	0.5653	35561	0.4347	81807
"Sydney"	"NSW"	31157	0.3535	56994	0.6465	88151
"Tangney"	"WA"	55144	0.6467	30130	0.3533	85274
"Throsby"	"NSW"	35640	0.4223	48753	0.5777	84393
"Wakefield"	"SA"	42340	0.466	48510	0.534	90850
"Wannon"	"VIC"	52984	0.6007	35218	0.3993	88202
"Warringah"	"NSW"	58374	0.6535	30953	0.3465	89327
"Watson"	"NSW"	34135	0.4319	44895	0.5681	79030
"Wentworth"	"NSW"	62359	0.6772	29725	0.3228	92084
"Werriwa"	"NSW"	36953	0.4776	40426	0.5224	77379
"Wide Bay"	"QLD"	53975	0.6316	31484	0.3684	85459
"Wills"	"VIC"	26507	0.2924	64161	0.7076	90668
"Wright"	"QLD"	49930	0.6184	30810	0.3816	80740
