"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Adelaide"	"SA"	36793	0.4231	50164	0.5769	86957
"Aston"	"VIC"	43901	0.5176	40916	0.4824	84817
"Ballarat"	"VIC"	34251	0.383	55188	0.617	89439
"Banks"	"NSW"	40719	0.4855	43150	0.5145	83869
"Barker"	"SA"	59278	0.6288	34992	0.3712	94270
"Barton"	"NSW"	33941	0.4314	44742	0.5686	78683
"Bass"	"TAS"	28337	0.4326	37165	0.5674	65502
"Batman"	"VIC"	19435	0.2509	58028	0.7491	77463
"Bendigo"	"VIC"	37337	0.4047	54928	0.5953	92265
"Bennelong"	"NSW"	45518	0.5312	40166	0.4688	85684
"Berowra"	"NSW"	56752	0.662	28972	0.338	85724
"Blair"	"QLD"	33595	0.4576	39814	0.5424	73409
"Blaxland"	"NSW"	27882	0.3777	45948	0.6223	73830
"Bonner"	"QLD"	43400	0.5282	38765	0.4718	82165
"Boothby"	"SA"	43317	0.5075	42042	0.4925	85359
"Bowman"	"QLD"	49490	0.6039	32455	0.3961	81945
"Braddon"	"TAS"	27855	0.4252	37650	0.5748	65505
"Bradfield"	"NSW"	59397	0.6818	27719	0.3182	87116
"Brand"	"WA"	36418	0.4667	41610	0.5333	78028
"Brisbane"	"QLD"	41440	0.5113	39609	0.4887	81049
"Bruce"	"VIC"	32144	0.4188	44603	0.5812	76747
"Calare"	"NSW"	54209	0.6074	35033	0.3926	89242
"Calwell"	"VIC"	26509	0.3028	61045	0.6972	87554
"Canberra"	"ACT"	45821	0.4085	66335	0.5915	112156
"Canning"	"WA"	41818	0.5219	38303	0.4781	80121
"Capricornia"	"QLD"	37230	0.4632	43150	0.5368	80380
"Casey"	"VIC"	45458	0.5418	38439	0.4582	83897
"Charlton"	"NSW"	31016	0.3733	52064	0.6267	83080
"Chifley"	"NSW"	30268	0.3766	50103	0.6234	80371
"Chisholm"	"VIC"	33991	0.4389	43459	0.5611	77450
"Cook"	"NSW"	56138	0.6266	33450	0.3734	89588
"Corangamite"	"VIC"	46464	0.4959	47235	0.5041	93699
"Corio"	"VIC"	29578	0.3578	53083	0.6422	82661
"Cowan"	"WA"	45062	0.5629	34992	0.4371	80054
"Cowper"	"NSW"	50477	0.5927	34691	0.4073	85168
"Cunningham"	"NSW"	32780	0.3683	56234	0.6317	89014
"Curtin"	"WA"	54158	0.6619	27669	0.3381	81827
"Dawson"	"QLD"	43494	0.5243	39455	0.4757	82949
"Deakin"	"VIC"	38073	0.4759	41927	0.5241	80000
"Denison"	"TAS"	22167	0.3418	42692	0.6582	64859
"Dickson"	"QLD"	44902	0.5513	36549	0.4487	81451
"Dobell"	"NSW"	37163	0.4493	45551	0.5507	82714
"Dunkley"	"VIC"	43777	0.5102	42023	0.4898	85800
"Durack"	"WA"	45843	0.6367	26155	0.3633	71998
"Eden-Monaro"	"NSW"	39063	0.4576	46300	0.5424	85363
"Fadden"	"QLD"	47236	0.6419	26356	0.3581	73592
"Fairfax"	"QLD"	45032	0.5695	34034	0.4305	79066
"Farrer"	"NSW"	53513	0.6451	29434	0.3549	82947
"Fisher"	"QLD"	39868	0.5413	33784	0.4587	73652
"Flinders"	"VIC"	53499	0.5911	37002	0.4089	90501
"Flynn"	"QLD"	42806	0.5358	37086	0.4642	79892
"Forde"	"QLD"	36271	0.5163	33987	0.4837	70258
"Forrest"	"WA"	47343	0.5874	33257	0.4126	80600
"Fowler"	"NSW"	31704	0.4124	45178	0.5876	76882
"Franklin"	"TAS"	25675	0.3918	39856	0.6082	65531
"Fraser"	"ACT"	39928	0.358	71613	0.642	111541
"Fremantle"	"WA"	36478	0.443	45858	0.557	82336
"Gellibrand"	"VIC"	21732	0.261	61531	0.739	83263
"Gilmore"	"NSW"	47850	0.5532	38649	0.4468	86499
"Gippsland"	"VIC"	54513	0.6145	34199	0.3855	88712
