"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Goldstein"	"VIC"	47747	0.5647	36811	0.4353	84558
"Gorton"	"VIC"	27280	0.2784	70705	0.7216	97985
"Grayndler"	"NSW"	24450	0.2937	58789	0.7063	83239
"Greenway"	"NSW"	38953	0.4912	40355	0.5088	79308
"Grey"	"SA"	54119	0.6116	34373	0.3884	88492
"Griffith"	"QLD"	33405	0.4154	47007	0.5846	80412
"Groom"	"QLD"	57912	0.6853	26589	0.3147	84501
"Hasluck"	"WA"	41722	0.5057	40774	0.4943	82496
"Herbert"	"QLD"	41221	0.5217	37797	0.4783	79018
"Higgins"	"VIC"	46167	0.5675	35180	0.4325	81347
"Hindmarsh"	"SA"	39526	0.443	49698	0.557	89224
"Hinkler"	"QLD"	48770	0.6039	31993	0.3961	80763
"Holt"	"VIC"	35133	0.3677	60412	0.6323	95545
"Hotham"	"VIC"	28966	0.365	50394	0.635	79360
"Hughes"	"NSW"	47619	0.5517	38688	0.4483	86307
"Hume"	"NSW"	51679	0.5872	36337	0.4128	88016
"Hunter"	"NSW"	30511	0.3752	50803	0.6248	81314
"Indi"	"VIC"	50755	0.5994	33916	0.4006	84671
"Isaacs"	"VIC"	35594	0.3898	55721	0.6102	91315
"Jagajaga"	"VIC"	33075	0.3848	52868	0.6152	85943
"Kennedy"	"QLD"	50616	0.6194	31106	0.3806	81722
"Kingsford Smith"	"NSW"	36780	0.4484	45249	0.5516	82029
"Kingston"	"SA"	33139	0.3609	58695	0.6391	91834
"Kooyong"	"VIC"	46779	0.5755	34508	0.4245	81287
"La Trobe"	"VIC"	43689	0.4909	45308	0.5091	88997
"Lalor"	"VIC"	28736	0.2785	74452	0.7215	103188
"Leichhardt"	"QLD"	43539	0.5455	36273	0.4545	79812
"Lilley"	"QLD"	40711	0.4682	46234	0.5318	86945
"Lindsay"	"NSW"	40681	0.4888	42546	0.5112	83227
"Lingiari"	"NT"	19876	0.463	23051	0.537	42927
"Longman"	"QLD"	39173	0.5192	36277	0.4808	75450
"Lyne"	"NSW"	53065	0.6245	31902	0.3755	84967
"Lyons"	"TAS"	24796	0.3771	40959	0.6229	65755
"Macarthur"	"NSW"	41462	0.5302	36741	0.4698	78203
"Mackellar"	"NSW"	57245	0.6572	29855	0.3428	87100
"Macquarie"	"NSW"	44801	0.5126	42604	0.4874	87405
"Makin"	"SA"	32219	0.378	53014	0.622	85233
"Mallee"	"VIC"	60611	0.7441	20842	0.2559	81453
"Maranoa"	"QLD"	63520	0.7289	23625	0.2711	87145
"Maribyrnong"	"VIC"	25379	0.3314	51193	0.6686	76572
"Mayo"	"SA"	52702	0.5735	39201	0.4265	91903
"McEwen"	"VIC"	46963	0.4468	58144	0.5532	105107
"McMahon"	"NSW"	33690	0.4219	46170	0.5781	79860
"McMillan"	"VIC"	46229	0.5441	38731	0.4559	84960
"McPherson"	"QLD"	47044	0.6028	31004	0.3972	78048
"Melbourne"	"VIC"	23854	0.267	65473	0.733	89327
"Melbourne Ports"	"VIC"	36002	0.4244	48819	0.5756	84821
"Menzies"	"VIC"	48102	0.5872	33811	0.4128	81913
"Mitchell"	"NSW"	56229	0.6716	27500	0.3284	83729
"Moncrieff"	"QLD"	51103	0.6749	24612	0.3251	75715
"Moore"	"WA"	50302	0.6119	31901	0.3881	82203
"Moreton"	"QLD"	39612	0.4887	41447	0.5113	81059
"Murray"	"VIC"	56666	0.7035	23882	0.2965	80548
"New England"	"NSW"	60907	0.668	30265	0.332	91172
"Newcastle"	"NSW"	30744	0.3751	51220	0.6249	81964
"North Sydney"	"NSW"	54901	0.6406	30808	0.3594	85709
"O'Connor"	"WA"	59555	0.73	22029	0.27	81584
"Oxley"	"QLD"	31640	0.4423	39894	0.5577	71534
"Page"	"NSW"	39111	0.4581	46273	0.5419	85384
"Parkes"	"NSW"	61789	0.6886	27946	0.3114	89735
"Parramatta"	"NSW"	35734	0.4563	42583	0.5437	78317
"Paterson"	"NSW"	45582	0.5533	36804	0.4467	82386
"Pearce"	"WA"	46292	0.5886	32349	0.4114	78641
"Perth"	"WA"	35379	0.4412	44815	0.5588	80194
"Petrie"	"QLD"	36267	0.4749	40097	0.5251	76364
"Port Adelaide"	"SA"	27084	0.2997	63295	0.7003	90379
"Rankin"	"QLD"	35640	0.4459	44289	0.5541	79929
"Reid"	"NSW"	37679	0.4732	41949	0.5268	79628
"Richmond"	"NSW"	34764	0.4301	46071	0.5699	80835
"Riverina"	"NSW"	59980	0.6817	28009	0.3183	87989
"Robertson"	"NSW"	41821	0.49	43520	0.51	85341
"Ryan"	"QLD"	50896	0.5716	38138	0.4284	89034
"Scullin"	"VIC"	22025	0.2775	57355	0.7225	79380
"Shortland"	"NSW"	31101	0.3715	52612	0.6285	83713
"Solomon"	"NT"	26371	0.5175	24585	0.4825	50956
"Stirling"	"WA"	44775	0.5555	35832	0.4445	80607
"Sturt"	"SA"	47172	0.5343	41113	0.4657	88285
"Swan"	"WA"	41729	0.5253	37710	0.4747	79439
"Sydney"	"NSW"	26142	0.3293	53235	0.6707	79377
"Tangney"	"WA"	52266	0.6232	31607	0.3768	83873
"Throsby"	"NSW"	31662	0.3789	51909	0.6211	83571
"Wakefield"	"SA"	33485	0.3805	54528	0.6195	88013
"Wannon"	"VIC"	47697	0.5729	35554	0.4271	83251
"Warringah"	"NSW"	53612	0.6309	31360	0.3691	84972
"Watson"	"NSW"	31364	0.4086	45393	0.5914	76757
"Wentworth"	"NSW"	56219	0.6486	30457	0.3514	86676
"Werriwa"	"NSW"	32574	0.4325	42740	0.5675	75314
"Wide Bay"	"QLD"	53484	0.6561	28029	0.3439	81513
"Wills"	"VIC"	23091	0.2736	61297	0.7264	84388
"Wright"	"QLD"	45358	0.6015	30049	0.3985	75407
