"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Banks"	"NSW"	34702	0.4711	38952	0.5289	73654
"Barton"	"NSW"	32873	0.4398	41873	0.5602	74746
"Bennelong"	"NSW"	44861	0.5771	32877	0.4229	77738
"Berowra"	"NSW"	51078	0.6565	26731	0.3435	77809
"Blaxland"	"NSW"	24395	0.3479	45725	0.6521	70120
"Bradfield"	"NSW"	57969	0.7116	23493	0.2884	81462
"Calare"	"NSW"	41055	0.5173	38302	0.4827	79357
"Charlton"	"NSW"	33011	0.4334	43151	0.5666	76162
"Chifley"	"NSW"	24785	0.3471	46628	0.6529	71413
"Cook"	"NSW"	47768	0.64	26866	0.36	74634
"Cowper"	"NSW"	40006	0.5473	33094	0.4527	73100
"Cunningham"	"NSW"	29140	0.3935	44904	0.6065	74044
"Dobell"	"NSW"	37565	0.5038	37005	0.4962	74570
"Eden-Monaro"	"NSW"	40579	0.5169	37918	0.4831	78497
"Farrer"	"NSW"	50133	0.6637	25399	0.3363	75532
"Fowler"	"NSW"	19215	0.2851	48174	0.7149	67389
"Gilmore"	"NSW"	49634	0.6463	27166	0.3537	76800
"Grayndler"	"NSW"	21249	0.2871	52770	0.7129	74019
"Greenway"	"NSW"	35583	0.4689	40310	0.5311	75893
"Gwydir"	"NSW"	49844	0.6488	26983	0.3512	76827
"Hughes"	"NSW"	47773	0.6041	31302	0.3959	79075
"Hume"	"NSW"	47278	0.5979	31796	0.4021	79074
"Hunter"	"NSW"	30759	0.3914	47838	0.6086	78597
"Kingsford Smith"	"NSW"	31395	0.411	44995	0.589	76390
"Lindsay"	"NSW"	40590	0.5547	32580	0.4453	73170
"Lowe"	"NSW"	34571	0.4619	40271	0.5381	74842
"Lyne"	"NSW"	49057	0.6124	31052	0.3876	80109
"Macarthur"	"NSW"	40767	0.5696	30798	0.4304	71565
"Mackellar"	"NSW"	52039	0.6687	25783	0.3313	77822
"Macquarie"	"NSW"	46273	0.5867	32598	0.4133	78871
"Mitchell"	"NSW"	56366	0.7132	22666	0.2868	79032
"Newcastle"	"NSW"	34497	0.4309	45555	0.5691	80052
"New England"	"NSW"	51017	0.6385	28886	0.3615	79903
"North Sydney"	"NSW"	49934	0.6322	29055	0.3678	78989
"Page"	"NSW"	39342	0.5277	35213	0.4723	74555
"Parkes"	"NSW"	44982	0.5874	31596	0.4126	76578
"Parramatta"	"NSW"	39367	0.5115	37593	0.4885	76960
"Paterson"	"NSW"	39658	0.5142	37463	0.4858	77121
"Prospect"	"NSW"	27945	0.3719	47197	0.6281	75142
"Reid"	"NSW"	21165	0.3313	42726	0.6687	63891
"Richmond"	"NSW"	37545	0.5168	35108	0.4832	72653
"Riverina"	"NSW"	56138	0.6987	24209	0.3013	80347
"Robertson"	"NSW"	43121	0.5698	32562	0.4302	75683
