"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Shortland"	"NSW"	32465	0.4122	46290	0.5878	78755
"Sydney"	"NSW"	25996	0.3496	48363	0.6504	74359
"Throsby"	"NSW"	26675	0.349	49767	0.651	76442
"Warringah"	"NSW"	48491	0.6266	28902	0.3734	77393
"Watson"	"NSW"	23003	0.3269	47374	0.6731	70377
"Wentworth"	"NSW"	43660	0.5786	31800	0.4214	75460
"Werriwa"	"NSW"	29677	0.4151	41810	0.5849	71487
"Aston"	"VIC"	47531	0.5617	37089	0.4383	84620
"Ballarat"	"VIC"	38078	0.4727	42471	0.5273	80549
"Batman"	"VIC"	19742	0.2492	59478	0.7508	79220
"Bendigo"	"VIC"	38048	0.4643	43892	0.5357	81940
"Bruce"	"VIC"	34884	0.4445	43592	0.5555	78476
"Burke"	"VIC"	36471	0.4449	45504	0.5551	81975
"Calwell"	"VIC"	28129	0.3227	59044	0.6773	87173
"Casey"	"VIC"	45004	0.5716	33723	0.4284	78727
"Chisholm"	"VIC"	37758	0.4723	42179	0.5277	79937
"Corangamite"	"VIC"	44529	0.5567	35463	0.4433	79992
"Corio"	"VIC"	32211	0.413	45787	0.587	77998
"Deakin"	"VIC"	40962	0.5174	38214	0.4826	79176
"Dunkley"	"VIC"	43537	0.5542	35023	0.4458	78560
"Flinders"	"VIC"	48585	0.5762	35733	0.4238	84318
"Gellibrand"	"VIC"	21551	0.2822	54814	0.7178	76365
"Gippsland"	"VIC"	43978	0.5805	31775	0.4195	75753
"Goldstein"	"VIC"	49122	0.5948	33459	0.4052	82581
"Higgins"	"VIC"	46583	0.5839	33196	0.4161	79779
"Holt"	"VIC"	29006	0.3668	50078	0.6332	79084
"Hotham"	"VIC"	31754	0.3898	49701	0.6102	81455
"Indi"	"VIC"	47535	0.6115	30201	0.3885	77736
"Isaacs"	"VIC"	35746	0.4719	40011	0.5281	75757
"Jagajaga"	"VIC"	36014	0.4436	45170	0.5564	81184
"Kooyong"	"VIC"	48944	0.6094	31377	0.3906	80321
"Lalor"	"VIC"	28098	0.3437	53644	0.6563	81742
"La Trobe"	"VIC"	43366	0.5367	37432	0.4633	80798
"McEwen"	"VIC"	42249	0.512	40269	0.488	82518
"McMillan"	"VIC"	37660	0.4754	41559	0.5246	79219
"Mallee"	"VIC"	53007	0.6993	22797	0.3007	75804
"Maribyrnong"	"VIC"	24405	0.3262	50410	0.6738	74815
"Melbourne"	"VIC"	25094	0.2991	58808	0.7009	83902
"Melbourne Ports"	"VIC"	35021	0.4431	44018	0.5569	79039
"Menzies"	"VIC"	45977	0.5894	32032	0.4106	78009
"Murray"	"VIC"	58824	0.7393	20743	0.2607	79567
"Scullin"	"VIC"	25051	0.3081	56265	0.6919	81316
"Wannon"	"VIC"	45921	0.5961	31120	0.4039	77041
"Wills"	"VIC"	24027	0.3058	54542	0.6942	78569
"Blair"	"QLD"	40727	0.585	28894	0.415	69621
"Bowman"	"QLD"	38491	0.4858	40742	0.5142	79233
"Brisbane"	"QLD"	40180	0.4687	45548	0.5313	85728
"Capricornia"	"QLD"	32233	0.4314	42492	0.5686	74725
"Dawson"	"QLD"	45987	0.5799	33313	0.4201	79300
"Dickson"	"QLD"	44688	0.5597	35155	0.4403	79843
"Fadden"	"QLD"	47838	0.6229	28962	0.3771	76800
"Fairfax"	"QLD"	45135	0.5921	31095	0.4079	76230
"Fisher"	"QLD"	47988	0.6206	29335	0.3794	77323
"Forde"	"QLD"	44207	0.5738	32835	0.4262	77042
"Griffith"	"QLD"	37160	0.4434	46654	0.5566	83814
"Groom"	"QLD"	50802	0.6509	27246	0.3491	78048
"Herbert"	"QLD"	42455	0.5162	39790	0.4838	82245
"Hinkler"	"QLD"	37392	0.5004	37328	0.4996	74720
"Kennedy"	"QLD"	44501	0.5895	30982	0.4105	75483
"Leichhardt"	"QLD"	41884	0.5639	32385	0.4361	74269
"Lilley"	"QLD"	36159	0.4517	43899	0.5483	80058
"Longman"	"QLD"	39774	0.5272	35668	0.4728	75442
"McPherson"	"QLD"	52839	0.6255	31639	0.3745	84478
"Maranoa"	"QLD"	50103	0.6601	25796	0.3399	75899
"Moncrieff"	"QLD"	50876	0.6542	26888	0.3458	77764
"Moreton"	"QLD"	43535	0.5421	36777	0.4579	80312
"Oxley"	"QLD"	31988	0.4186	44427	0.5814	76415
"Petrie"	"QLD"	43682	0.5342	38093	0.4658	81775
"Rankin"	"QLD"	32303	0.4332	42267	0.5668	74570
"Ryan"	"QLD"	47928	0.5862	33828	0.4138	81756
"Wide Bay"	"QLD"	44548	0.6073	28811	0.3927	73359
"Brand"	"WA"	28521	0.3995	42869	0.6005	71390
"Canning"	"WA"	34860	0.5038	34330	0.4962	69190
"Cowan"	"WA"	32331	0.4449	40341	0.5551	72672
"Curtin"	"WA"	48502	0.6391	27385	0.3609	75887
"Forrest"	"WA"	43049	0.5761	31672	0.4239	74721
"Fremantle"	"WA"	28491	0.3933	43952	0.6067	72443
"Hasluck"	"WA"	33911	0.4822	36420	0.5178	70331
"Kalgoorlie"	"WA"	36755	0.5434	30880	0.4566	67635
"Moore"	"WA"	38096	0.5604	29886	0.4396	67982
"O'Connor"	"WA"	51484	0.6909	23031	0.3091	74515
"Pearce"	"WA"	39979	0.5688	30302	0.4312	70281
"Perth"	"WA"	28674	0.3879	45239	0.6121	73913
"Stirling"	"WA"	37311	0.4842	39740	0.5158	77051
"Swan"	"WA"	33959	0.4796	36844	0.5204	70803
"Tangney"	"WA"	44047	0.5797	31934	0.4203	75981
"Adelaide"	"SA"	38928	0.5022	38585	0.4978	77513
"Barker"	"SA"	52491	0.6569	27416	0.3431	79907
"Bonython"	"SA"	29924	0.3958	45688	0.6042	75612
"Boothby"	"SA"	46982	0.5735	34933	0.4265	81915
"Grey"	"SA"	46876	0.6056	30532	0.3944	77408
"Hindmarsh"	"SA"	39564	0.5186	36719	0.4814	76283
"Kingston"	"SA"	36872	0.4758	40618	0.5242	77490
"Makin"	"SA"	43271	0.5376	37219	0.4624	80490
"Mayo"	"SA"	49162	0.6287	29040	0.3713	78202
"Port Adelaide"	"SA"	27005	0.3535	49379	0.6465	76384
"Sturt"	"SA"	45310	0.5818	32568	0.4182	77878
"Wakefield"	"SA"	50764	0.6456	27861	0.3544	78625
"Bass"	"TAS"	29093	0.4794	31598	0.5206	60691
"Braddon"	"TAS"	27819	0.4404	35345	0.5596	63164
"Denison"	"TAS"	22543	0.3574	40530	0.6426	63073
"Franklin"	"TAS"	26307	0.4196	36390	0.5804	62697
"Lyons"	"TAS"	24423	0.4183	33970	0.5817	58393
"Canberra"	"ACT"	40696	0.4056	59632	0.5944	100328
"Fraser"	"ACT"	38184	0.3731	64154	0.6269	102338
"Lingiari"	"NT"	19551	0.4471	24182	0.5529	43733
"Solomon"	"NT"	23758	0.5009	23670	0.4991	47428
