"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Isaacs"	"VIC"	40932	0.4427	51538	0.5573	92470
"Jagajaga"	"VIC"	41894	0.4533	50536	0.5467	92430
"Kennedy"	"QLD"	48903	0.5686	37107	0.4314	86010
"Kingsford Smith"	"NSW"	38172	0.4143	53962	0.5857	92134
"Kingston"	"SA"	30775	0.3295	62616	0.6705	93391
"Kooyong"	"VIC"	57007	0.6334	32996	0.3666	90003
"La Trobe"	"VIC"	47649	0.5146	44948	0.4854	92597
"Lalor"	"VIC"	39029	0.3656	67731	0.6344	106760
"Leichhardt"	"QLD"	47915	0.5395	40893	0.4605	88808
"Lilley"	"QLD"	42964	0.4468	53190	0.5532	96154
"Lindsay"	"NSW"	43643	0.4889	45633	0.5111	89276
"Lingiari"	"NT"	17827	0.4158	25048	0.5842	42875
"Longman"	"QLD"	43339	0.4921	44729	0.5079	88068
"Lyne"	"NSW"	61416	0.6163	38238	0.3837	99654
"Lyons"	"TAS"	32677	0.4769	35838	0.5231	68515
"Macarthur"	"NSW"	37464	0.4167	52448	0.5833	89912
"Mackellar"	"NSW"	61800	0.6574	32212	0.3426	94012
"Macquarie"	"NSW"	43719	0.4781	47733	0.5219	91452
"Makin"	"SA"	37954	0.4035	56116	0.5965	94070
"Mallee"	"VIC"	62383	0.7132	25083	0.2868	87466
"Maranoa"	"QLD"	60821	0.6754	29228	0.3246	90049
"Maribyrnong"	"VIC"	35369	0.3769	58465	0.6231	93834
"Mayo"	"SA"	52650	0.5535	42466	0.4465	95116
"McEwen"	"VIC"	47718	0.4215	65482	0.5785	113200
"McMahon"	"NSW"	32596	0.3789	53442	0.6211	86038
"McMillan"	"VIC"	56543	0.5603	44378	0.4397	100921
"McPherson"	"QLD"	54687	0.6164	34039	0.3836	88726
"Melbourne"	"VIC"	31616	0.3343	62963	0.6657	94579
"Melbourne Ports"	"VIC"	41236	0.4862	43573	0.5138	84809
"Menzies"	"VIC"	52842	0.6056	34415	0.3944	87257
"Mitchell"	"NSW"	61847	0.6782	29351	0.3218	91198
"Moncrieff"	"QLD"	55824	0.6494	30136	0.3506	85960
"Moore"	"WA"	53416	0.6102	34129	0.3898	87545
"Moreton"	"QLD"	39056	0.4598	45892	0.5402	84948
"Murray"	"VIC"	65920	0.749	22096	0.251	88016
"New England"	"NSW"	63100	0.6642	31904	0.3358	95004
"Newcastle"	"NSW"	35887	0.3616	63348	0.6384	99235
"North Sydney"	"NSW"	58825	0.6361	33652	0.3639	92477
"O'Connor"	"WA"	56543	0.6504	30391	0.3496	86934
"Oxley"	"QLD"	34111	0.4092	49250	0.5908	83361
"Page"	"NSW"	54717	0.523	49895	0.477	104612
"Parkes"	"NSW"	60901	0.651	32646	0.349	93547
"Parramatta"	"NSW"	34722	0.4233	47300	0.5767	82022
"Paterson"	"NSW"	39289	0.3926	60779	0.6074	100068
"Pearce"	"WA"	46672	0.5363	40360	0.4637	87032
"Perth"	"WA"	39029	0.4667	44602	0.5333	83631
"Petrie"	"QLD"	47926	0.5165	44867	0.4835	92793
"Port Adelaide"	"SA"	28890	0.3009	67119	0.6991	96009
"Rankin"	"QLD"	33061	0.387	52362	0.613	85423
"Reid"	"NSW"	49543	0.5469	41054	0.4531	90597
"Richmond"	"NSW"	45306	0.4604	53092	0.5396	98398
"Riverina"	"NSW"	65719	0.6644	33201	0.3356	98920
"Robertson"	"NSW"	48728	0.5114	46549	0.4886	95277
"Ryan"	"QLD"	55994	0.5909	38770	0.4091	94764
"Scullin"	"VIC"	31309	0.3272	64369	0.6728	95678
"Shortland"	"NSW"	39277	0.4006	58761	0.5994	98038
"Solomon"	"NT"	24019	0.44	30566	0.56	54585
"Stirling"	"WA"	46520	0.5612	36371	0.4388	82891
"Sturt"	"SA"	51998	0.5589	41034	0.4411	93032
"Swan"	"WA"	43625	0.5359	37777	0.4641	81402
"Sydney"	"NSW"	30490	0.3469	57410	0.6531	87900
"Tangney"	"WA"	51029	0.6107	32536	0.3893	83565
"Wakefield"	"SA"	37439	0.3903	58494	0.6097	95933
"Wannon"	"VIC"	52625	0.5896	36630	0.4104	89255
"Warringah"	"NSW"	52948	0.6109	33718	0.3891	86666
"Watson"	"NSW"	26989	0.3242	56247	0.6758	83236
"Wentworth"	"NSW"	56971	0.6775	27121	0.3225	84092
"Werriwa"	"NSW"	37356	0.418	52005	0.582	89361
"Whitlam"	"NSW"	35711	0.3628	62730	0.6372	98441
"Wide Bay"	"QLD"	52264	0.5814	37625	0.4186	89889
"Wills"	"VIC"	27071	0.2877	67037	0.7123	94108
"Wright"	"QLD"	52651	0.5962	35667	0.4038	88318
