"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Adelaide"	"SA"	43325	0.4535	52219	0.5465	95544
"Aston"	"VIC"	50142	0.5859	35444	0.4141	85586
"Ballarat"	"VIC"	41705	0.4268	56002	0.5732	97707
"Banks"	"NSW"	46210	0.5144	43622	0.4856	89832
"Barker"	"SA"	61566	0.6519	32879	0.3481	94445
"Barton"	"NSW"	36571	0.417	51131	0.583	87702
"Bass"	"TAS"	29056	0.4391	37119	0.5609	66175
"Batman"	"VIC"	25456	0.2825	64645	0.7175	90101
"Bendigo"	"VIC"	45105	0.4626	52398	0.5374	97503
"Bennelong"	"NSW"	55077	0.5972	37154	0.4028	92231
"Berowra"	"NSW"	62470	0.6645	31547	0.3355	94017
"Blair"	"QLD"	35029	0.4112	50158	0.5888	85187
"Blaxland"	"NSW"	24378	0.3052	55507	0.6948	79885
"Bonner"	"QLD"	48002	0.5339	41907	0.4661	89909
"Boothby"	"SA"	50980	0.535	44308	0.465	95288
"Bowman"	"QLD"	52690	0.5707	39635	0.4293	92325
"Braddon"	"TAS"	30913	0.478	33759	0.522	64672
"Bradfield"	"NSW"	66513	0.7104	27121	0.2896	93634
"Brand"	"WA"	31516	0.3857	50202	0.6143	81718
"Brisbane"	"QLD"	52693	0.5592	41532	0.4408	94225
"Bruce"	"VIC"	38118	0.4592	44894	0.5408	83012
"Burt"	"WA"	36181	0.4289	48177	0.5711	84358
"Calare"	"NSW"	61978	0.6181	38300	0.3819	100278
"Calwell"	"VIC"	28870	0.3213	60978	0.6787	89848
"Canberra"	"ACT"	53473	0.4154	75247	0.5846	128720
"Canning"	"WA"	47987	0.5679	36507	0.4321	84494
"Capricornia"	"QLD"	44633	0.5063	43522	0.4937	88155
"Casey"	"VIC"	51703	0.5606	40528	0.4394	92231
"Chifley"	"NSW"	26367	0.3081	59202	0.6919	85569
"Chisholm"	"VIC"	44437	0.5124	42283	0.4876	86720
"Cook"	"NSW"	59760	0.6539	31625	0.3461	91385
"Corangamite"	"VIC"	52291	0.5313	46126	0.4687	98417
"Corio"	"VIC"	37779	0.4001	56656	0.5999	94435
"Cowan"	"WA"	40195	0.4932	41301	0.5068	81496
"Cowper"	"NSW"	64743	0.6258	38717	0.3742	103460
"Cunningham"	"NSW"	35547	0.3668	61377	0.6332	96924
"Curtin"	"WA"	60631	0.707	25133	0.293	85764
"Dawson"	"QLD"	48167	0.5334	42133	0.4666	90300
"Deakin"	"VIC"	50264	0.5568	40004	0.4432	90268
"Denison"	"TAS"	23104	0.3466	43550	0.6534	66654
"Dickson"	"QLD"	46922	0.516	44011	0.484	90933
"Dobell"	"NSW"	43683	0.4519	52991	0.5481	96674
"Dunkley"	"VIC"	45925	0.5143	43368	0.4857	89293
"Durack"	"WA"	46823	0.6106	29866	0.3894	76689
"Eden-Monaro"	"NSW"	44466	0.4707	50003	0.5293	94469
"Fadden"	"QLD"	54578	0.6105	34826	0.3895	89404
"Fairfax"	"QLD"	56299	0.6089	36164	0.3911	92463
"Farrer"	"NSW"	68114	0.7053	28465	0.2947	96579
"Fenner"	"ACT"	44780	0.3611	79242	0.6389	124022
"Fisher"	"QLD"	49473	0.5906	34292	0.4094	83765
"Flinders"	"VIC"	58683	0.5777	42891	0.4223	101574
"Flynn"	"QLD"	44480	0.5104	42666	0.4896	87146
"Forde"	"QLD"	42486	0.5063	41424	0.4937	83910
"Forrest"	"WA"	52981	0.6256	31710	0.3744	84691
"Fowler"	"NSW"	27561	0.3251	57209	0.6749	84770
"Franklin"	"TAS"	27343	0.3928	42264	0.6072	69607
"Fremantle"	"WA"	36055	0.4248	48821	0.5752	84876
"Gellibrand"	"VIC"	29357	0.3177	63060	0.6823	92417
"Gilmore"	"NSW"	52336	0.5073	50833	0.4927	103169
"Gippsland"	"VIC"	61106	0.6843	28186	0.3157	89292
"Goldstein"	"VIC"	58628	0.6268	34912	0.3732	93540
"Gorton"	"VIC"	29970	0.3055	68135	0.6945	98105
"Grayndler"	"NSW"	24306	0.2764	63616	0.7236	87922
"Greenway"	"NSW"	38920	0.4369	50163	0.5631	89083
"Grey"	"SA"	52696	0.5863	37180	0.4137	89876
"Griffith"	"QLD"	44519	0.484	47464	0.516	91983
"Groom"	"QLD"	59589	0.6531	31658	0.3469	91247
"Hasluck"	"WA"	42294	0.5205	38957	0.4795	81251
"Herbert"	"QLD"	44150	0.4998	44187	0.5002	88337
"Higgins"	"VIC"	54798	0.6069	35493	0.3931	90291
"Hindmarsh"	"SA"	48446	0.4942	49586	0.5058	98032
"Hinkler"	"QLD"	51804	0.5842	36865	0.4158	88669
"Holt"	"VIC"	35701	0.3583	63929	0.6417	99630
"Hotham"	"VIC"	37060	0.4252	50104	0.5748	87164
"Hughes"	"NSW"	55633	0.5933	38143	0.4067	93776
"Hume"	"NSW"	57127	0.6018	37801	0.3982	94928
"Hunter"	"NSW"	36211	0.3754	60255	0.6246	96466
"Indi"	"VIC"	49038	0.544	41099	0.456	90137
